UTC-timeStamp,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,WorkloadFBDS,WorkloadBDS,WorkloadAverage,Brow Furrow,Brow Raise,Engagement,Lip Corner Depressor,Smile,Valence,Attention,InnerBrowRaise,EyeClosure,NoseWrinkle,UpperLipRaise,LipSuck,LipPress,MouthOpen,ChinRaise,Smirk,LipPucker,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,Cheek Raise,Dimpler,Eye Widen,Lid Tighten,Lip Stretch,Jaw Drop,Battery (mVolts),GSC (mVolts),GSR (kOhms),GSR Quality
20180822_180604242,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604242,917,592,912,668,2.140427,2.199173,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604254,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604254,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1961.904762,77.9313892,VALID
20180822_180604255,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101.251282,1758.974359,77.96419884,VALID
20180822_180604259,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1890.842491,77.9313892,VALID
20180822_180604259,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1953.846154,77.96419884,VALID
20180822_180604267,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1977.289377,77.96419884,VALID
20180822_180604270,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1977.289377,77.96419884,VALID
20180822_180604270,934,618,915,635,2.163681,2.162521,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1977.289377,77.96419884,VALID
20180822_180604273,939,614,912,618,2.186295,2.103775,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1977.289377,77.96419884,VALID
20180822_180604286,939,614,912,618,2.186295,2.103775,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4076.492308,1957.509158,77.96419884,VALID
20180822_180604287,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604288,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604288,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604288,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604288,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604289,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604289,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604291,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604291,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604299,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604299,961,619,913,634,2.170395,2.182938,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1966.300366,77.96419884,VALID
20180822_180604304,944,637,897,607,2.11821,2.080719,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101.251282,1761.172161,77.99703611,VALID
20180822_180604304,944,637,897,607,2.11821,2.080719,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1909.157509,77.99703611,VALID
20180822_180604305,944,637,897,607,2.11821,2.080719,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1909.157509,77.99703611,VALID
20180822_180604305,944,637,897,607,2.11821,2.080719,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1909.157509,77.99703611,VALID
20180822_180604307,944,637,897,607,2.11821,2.080719,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1960.43956,78.02990106,VALID
